1	0.815	8.8825	0.2900391071077911	0.06172500000000005
2	0.8825000000000001	8.0925	0.31440516260655965	0.25844999999999996
3	0.89	8.585	0.30312350370440355	0.2447999999999999
4	0.915	8.305	0.3131692138565362	0.3173999999999999
5	0.915	8.5375	0.30590736859722273	0.31889999999999985
6	0.9175	8.317499999999999	0.30931496167997086	0.31774999999999987
7	0.855	8.6725	0.2907652775976522	0.16964999999999997
8	0.86	8.7025	0.2923849183627759	0.19789999999999994
q-learning
=======================================================
0	0.9099999999999999	8.377999999999998	0.3134228243745638	0.30557999999999996
1	0.9120000000000001	8.266	0.30992059569734476	0.31300000000000006
2	0.9	8.412	0.3035920822421443	0.28984
3	0.916	8.2	0.3129107987656532	0.36264000000000013
4	0.924	8.27	0.3109108747163335	0.38166
5	0.9339999999999999	8.176	0.31355240143188007	0.37435999999999997
6	0.9200000000000002	8.436	0.30844088610783904	0.31850000000000006
7	0.9260000000000002	8.047999999999998	0.31875297516274526	0.36554000000000003
8	0.914	8.408000000000001	0.30735224620733304	0.33770000000000006
9	0.916	8.468	0.3099088472712073	0.34574000000000005
10	0.93	8.074	0.32003666736635256	0.38266
11	0.938	8.209999999999999	0.31902170253089773	0.39552
12	0.93	8.106	0.3209839243055064	0.39002
13	0.9020000000000001	8.325999999999999	0.3088777426207444	0.32039999999999996
14	0.9219999999999999	8.196000000000002	0.3130832639760238	0.36094000000000004
